shop_name,id,closest_mrt,distance_to_mrt
Kebuke Xinyi Yongchun,ChIJW7zTuXyrQjQRenC7gzz2JA8,永春站出口4,340.086611618291
CHAGE Zhishan Fuhua Shop,ChIJq4L_9WqvQjQRxc1WeN45mYI,芝山站出口2,95.8296113570669
清心福全 淡水沙崙店-珍珠奶茶及各式茶飲專賣店,ChIJL0OFBUqlQjQR-4N8yT3APRY,淡水站出口1,2748.8536793392454
茶壜精緻茶飲(新北新莊輔大店),ChIJU-s0meinQjQRGqtuGP2x468,輔大站出口1,203.3352400591867
Dejeng Oolong Tea #Taipei Shilin Project,ChIJi7RZiEivQjQRKlYtmd60aq4,士林站出口1,38.71678969194041
Milksha Taipei Beitou,ChIJpVbwk1CuQjQRQ7NUDeXFV_E,北投站出口2,333.771790785939
再睡5分鐘 - 台北吳興店,ChIJtbCFYFGrQjQRAAGubuykFNI,台北101/世貿站出口2,250.7080567718114
美丘。拎茶 [板橋館前],ChIJEaGtCeoDaDQRfedYk1AivGk,府中站出口1,226.2370040268394
Nap Tea Taipei Yitong,ChIJf6yFXcCpQjQRqT8Mvrshxoc,松江南京站出口6,137.85550443176513
大叔花茶舖（樂華店）,ChIJSSk1AimpQjQRQjKGPieFk3c,頂溪站出口1,490.84611587773657
CoCo都可 士林中正店,ChIJ0RgOiLuuQjQRuYIY_FqmYl8,士林站出口1,407.41709927986005
可唐精品茶旅 台大店,ChIJ7ag_BxepQjQRj5brwsLDrLI,公館站出口3,499.2287020708744
Liang Shui,ChIJSWtBkeqpQjQRNx1TyXLOnYo,頂溪站出口2,85.45696994813206
小制作茶 （小巨蛋店）,ChIJ_dABbEurQjQRSwd-zxmox3c,台北小巨蛋站出口4,246.4351318688952
Oolong Tea Project - Da'an,ChIJZaE7bACrQjQRrBn6KIKJy2U,忠孝復興站出口4,230.06514384173667
珍煮丹 土城海山店,ChIJ49TCJYkDaDQRbhY0R9NGQ9U,海山站出口3,151.7474829368453
CoCo都可 東湖二店,ChIJZfVkIbusQjQRxSJZ_pQuQQw,東湖站出口3,276.7546350926728
50嵐 萬隆店,ChIJTSlTFx2qQjQR3C9-iBKp-gg,萬隆站出口3,8.311245021687904
Cueicha,ChIJoY40N0-pQjQRkbUHjlBTlws,圓山站出口1,201.77278107382705
大茗本位製茶堂 台北通化店,ChIJlWqVQPerQjQR6VQpBSu8TYw,信義安和站出口4,98.96764082948197
萬波島嶼紅茶Wan Po Tea Shop 台北 木柵店,ChIJDcu03ZCrQjQRaAjs_CwJCF0,萬芳社區站出口,1095.0336348598123
50 Lan,ChIJCRuGslquQjQRlaeNG32HzvY,北投站出口1,113.21177663139922
TEA TOP第一味 永和竹林店,ChIJWX3H6xqpQjQRw7FkpGWbjN0,頂溪站出口1,338.14323314589296
